ExpCount;5;10;15;20;25;30;35;40;45;50;
Write;25.137;25.2012;5.1694;5.93391;10.8602;5.83582;8.23548;9.89929;10.8876;29.9211;
Read;0.985325;19.2672;1.65785;4.02251;10.6947;2.4592;2.85095;9.18799;9.44517;18.825;
