blockSize;512;1024;1536;2048;2560;3072;3584;4096;4608;5120;5632;6144;6656;7168;7680;8192;8704;9216;9728;10240;
RAM;24.9639;9.8743;5.55285;0.824396;1.00141;0.414203;0.407293;0.479528;4.14205;2.44793;0.709462;8.80436;3.9241;7.77156;1.13039;7.04375;0.494371;2.03724;0.918434;4.44947;
HDD;4.76392;2.37354;0.739103;0.925295;4.15163;1.00562;3.24416;3.48065;2.43327;4.43059;2.88215;0.98799;2.36497;0.726585;1.30064;2.84543;3.14866;1.51981;0.86039;2.86205;
Flash;2.55421;0.636525;0.308056;0.407803;0.500564;0.844126;2.44398;0.769805;1.35401;0.484319;0.774733;2.7757;1.11405;2.03467;2.21261;1.79663;0.341599;0.625288;1.6569;18.1436;
