blockSize;512;1024;1536;2048;2560;3072;3584;4096;4608;5120;5632;6144;6656;7168;7680;8192;8704;9216;9728;10240;
RAM;11.9042;14.2738;17.8418;16.4181;17.8621;18.486;18.7959;16.3932;18.5582;18.87;18.5202;18.6947;18.9651;18.5469;14.8656;12.9401;14.6764;18.6513;18.8703;18.5632;
HDD;1.14798;1.24231;1.33214;1.34793;1.4588;1.37665;1.50142;1.3955;1.42108;1.39462;1.41668;1.42465;1.49919;1.50633;1.4351;1.5454;1.34734;1.39355;1.52873;1.38158;
Flash;1.43901;1.43804;1.48177;1.47548;1.47805;1.47432;1.48726;1.48111;1.33513;1.34718;1.36442;1.38413;1.37975;1.3885;1.38914;1.3816;1.33404;1.3363;1.33659;1.37474;
