blockSize;512;1024;1536;2048;2560;3072;3584;4096;4608;5120;5632;6144;6656;7168;7680;8192;8704;9216;9728;10240;
RAM;3.89869;6.5116;3.16786;0.0570304;1.35933;0.254764;3.46685;1.2159;2.86969;1.22238;3.97387;2.5256;1.51955;0.926573;0.852046;6.36944;1.84835;0.801696;0.476046;1.08107;
HDD;0.833651;0.611287;0.655264;2.28813;5.88475;0.537664;1.84205;4.82551;0.136707;0.305579;0.30841;8.78988;0.558169;0.680015;0.530715;0.872771;0.198172;0.00186696;1.27374;0.159768;
Flash;10.2848;1.73454;1.31599;1.16886;1.4011;0.041251;0.573076;2.17938;0.75678;1.82069;1.63208;0.895725;1.73632;0.664893;0.988562;0.172078;2.70756;6.77951;1.16785;2.55003;
