blockSize;512;1024;1536;2048;2560;3072;3584;4096;4608;5120;5632;6144;6656;7168;7680;8192;8704;9216;9728;10240;
RAM;30.622;28.0088;29.0689;31.9252;31.644;24.0507;28.294;23.814;29.1812;30.3569;32.0109;31.5757;30.8419;31.7914;30.611;32.0013;30.8554;30.9168;31.0491;31.0812;
HDD;8.77614;12.2473;13.6813;14.4776;15.065;11.4563;15.7795;15.9365;16.1012;16.2922;16.427;15.9196;15.2531;16.6076;16.6931;16.8376;16.8232;16.736;16.6841;16.8167;
Flash;11.5811;13.7229;14.9737;15.4671;15.984;16.2557;16.4163;16.6667;16.5899;14.6575;16.972;17.1113;16.756;15.5989;15.246;16.9064;17.2261;15.0436;16.4177;17.3351;
