Memory type;HDD
Block Size;300 Kb
Element type;char
BufferSize;1
LaunchNum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
Timer;std::chrono::high_resolution_clock::now
AverageWriteTime;1.66941e+08
WriteTime;1.70594e+08;1.66256e+08;1.66876e+08;1.65924e+08;1.65235e+08;1.67766e+08;1.67981e+08;1.6754e+08;1.69236e+08;1.66643e+08;1.67549e+08;1.66935e+08;1.6843e+08;1.67874e+08;1.66268e+08;1.67579e+08;1.66102e+08;1.64404e+08;1.63354e+08;1.66273e+08;
WriteBandWidth;1840.17
AbsError(write);3.65314e+06;685355;65255;1.01696e+06;1.70576e+06;824645;1.04044e+06;599345;2.29554e+06;297655;607945;5755;1.48884e+06;933045;672855;637645;838955;2.53726e+06;3.58666e+06;668155;
RelError(write);2.18829;0.410537;0.0390887;0.60917;1.02177;0.493974;0.623241;0.359016;1.37506;0.1783;0.364168;0.00344733;0.891839;0.558907;0.40305;0.381958;0.502546;1.51985;2.14846;0.400234;
AverageReadTime;2.06455e+07
ReadTime;2.12411e+07;2.04485e+07;2.03966e+07;2.075e+07;2.13839e+07;2.05962e+07;2.069e+07;2.04999e+07;2.09203e+07;2.02867e+07;2.0459e+07;2.04513e+07;2.04889e+07;2.06329e+07;2.0636e+07;2.06577e+07;2.06085e+07;2.05346e+07;2.0729e+07;2.04981e+07;
ReadBandWidth;14879.8
AbsError(read);595640;196960;248860;104540;738440;49260;44540;145560;274840;358760;186460;194160;156560;12560;9460;12240;36960;110860;83540;147360;
RelError(read);2.88509;0.954011;1.2054;0.506358;3.57677;0.2386;0.215738;0.705046;1.33124;1.73772;0.903153;0.940449;0.758327;0.0608366;0.0458212;0.0592866;0.179022;0.53697;0.404641;0.713765;

