Memory type;RAM;;;;;;;;;;;;;;;;;;;
RelError(write);2.68503;1.38582;2.99047;1.40184;0.569848;1.28962;0.592527;13.0271;2.51091;1.31467;0.316276;2.50653;1.68017;4.17999;2.66806;мар.59;1.75086;2.92706;фев.68;1.91176
AverageReadTime;3.93181e+08;;;;;;;;;;;;;;;;;;;
ReadTime;3.93064e+08;3.88999e+08;3.96043e+08;3.90469e+08;3.94925e+08;3.98327e+08;3.88921e+08;3.91492e+08;3.89743e+08;3.95052e+08;3.97257e+08;3.93305e+08;3.93709e+08;3.95419e+08;3.88796e+08;3.97019e+08;3.89658e+08;3.97006e+08;3.93154e+08;3.91258e+08
ReadBandWidth;10667.6;;;;;;;;;;;;;;;;;;;
AbsError(read);116530;4.18143e+06;2.86247e+06;2.71183e+06;1.74377e+06;5.14597e+06;4.25983e+06;1.68843e+06;3.43793e+06;1.87067e+06;4.07617e+06;124270;527870;2.23857e+06;4.38513e+06;3.83787e+06;3.52263e+06;3.82537e+06;26630;1.92263e+06
RelError(read);0.0296378;1.06349;0.728029;0.689716;0.443503;янв.88;1.08343;0.429428;0.874389;0.475779;1.03672;0.0316063;0.134256;0.569349;1.1153;0.976108;0.895931;0.972929;0.00677296;0.488994
;;;;;;;;;;;;;;;;;;;;
Memory type;HDD;;;;;;;;;;;;;;;;;;;
Block Size;8 Mb;;;;;;;;;;;;;;;;;;;
Element type;char;;;;;;;;;;;;;;;;;;;
BufferSize;1;;;;;;;;;;;;;;;;;;;
LaunchNum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Timer;std::chrono::high_resolution_clock::now;;;;;;;;;;;;;;;;;;;
AverageWriteTime;3.44233e+09;;;;;;;;;;;;;;;;;;;
WriteTime;5.05781e+09;3.26964e+09;3.24992e+09;3.66082e+09;3.31506e+09;3.78255e+09;3.22008e+09;3.67356e+09;3.24965e+09;3.24641e+09;3.22616e+09;3.4566e+09;3.25198e+09;3.64229e+09;3.2812e+09;3.17701e+09;3.29863e+09;3.28855e+09;3.28141e+09;3.21732e+09
WriteBandWidth;2436.9;;;;;;;;;;;;;;;;;;;
